2018-04-07 16:49:38,558 - DEBUG : 程式開始
2018-04-07 16:49:38,559 - DEBUG : sumrange 100 計算開始
2018-04-07 16:49:38,559 - DEBUG : i = 1, ans = 2
2018-04-07 16:49:38,559 - DEBUG : i = 2, ans = 4
2018-04-07 16:49:38,559 - DEBUG : i = 3, ans = 7
2018-04-07 16:49:38,560 - DEBUG : i = 4, ans = 11
2018-04-07 16:49:38,560 - DEBUG : i = 5, ans = 16
2018-04-07 16:49:38,560 - DEBUG : i = 6, ans = 22
2018-04-07 16:49:38,560 - DEBUG : i = 7, ans = 29
2018-04-07 16:49:38,560 - DEBUG : i = 8, ans = 37
2018-04-07 16:49:38,560 - DEBUG : i = 9, ans = 46
2018-04-07 16:49:38,560 - DEBUG : i = 10, ans = 56
2018-04-07 16:49:38,561 - DEBUG : i = 11, ans = 67
2018-04-07 16:49:38,561 - DEBUG : i = 12, ans = 79
2018-04-07 16:49:38,561 - DEBUG : i = 13, ans = 92
2018-04-07 16:49:38,561 - DEBUG : i = 14, ans = 106
2018-04-07 16:49:38,561 - DEBUG : i = 15, ans = 121
2018-04-07 16:49:38,561 - DEBUG : i = 16, ans = 137
2018-04-07 16:49:38,561 - DEBUG : i = 17, ans = 154
2018-04-07 16:49:38,562 - DEBUG : i = 18, ans = 172
2018-04-07 16:49:38,562 - DEBUG : i = 19, ans = 191
2018-04-07 16:49:38,562 - DEBUG : i = 20, ans = 211
2018-04-07 16:49:38,562 - DEBUG : i = 21, ans = 232
2018-04-07 16:49:38,562 - DEBUG : i = 22, ans = 254
2018-04-07 16:49:38,562 - DEBUG : i = 23, ans = 277
2018-04-07 16:49:38,562 - DEBUG : i = 24, ans = 301
2018-04-07 16:49:38,562 - DEBUG : i = 25, ans = 326
2018-04-07 16:49:38,563 - DEBUG : i = 26, ans = 352
2018-04-07 16:49:38,563 - DEBUG : i = 27, ans = 379
2018-04-07 16:49:38,563 - DEBUG : i = 28, ans = 407
2018-04-07 16:49:38,563 - DEBUG : i = 29, ans = 436
2018-04-07 16:49:38,563 - DEBUG : i = 30, ans = 466
2018-04-07 16:49:38,563 - DEBUG : i = 31, ans = 497
2018-04-07 16:49:38,563 - DEBUG : i = 32, ans = 529
2018-04-07 16:49:38,563 - DEBUG : i = 33, ans = 562
